name,longitude,latitude,prov,date,key
Bombycilla garrulus,-96.19407353,50.5656636769,inat,2016-11-20,4608263
Bombycilla garrulus,-89.1816687584,46.5350118099,inat,2016-12-03,4733652
Bombycilla garrulus,-87.393285,46.561986,gbif,2016-04-18,1453093497
Bombycilla garrulus,-87.4907965,46.6280117,inat,2016-11-13,4560549
Bombycilla garrulus,-84.9639837,46.7651265,inat,2016-05-07,3809570
Bombycilla garrulus,-87.393285,46.561986,inat,2016-04-18,3491341
Bombycilla garrulus,-84.963984,46.765127,gbif,2016-05-07,1291667994
Bombycilla garrulus,-80.522829,43.474513,inat,2016-04-12,2928117
Bombycilla garrulus,-80.549935,43.480204,inat,2016-04-06,2928084
Bombycilla garrulus,-75.883136,45.364681,gbif,2016-02-19,1253302977
Bombycilla garrulus,-75.796083,45.373754,gbif,2016-02-15,1249297923
Bombycilla garrulus,-75.796083,45.373754,gbif,2016-02-15,1249297933
Bombycilla garrulus,-75.811603,45.290734,gbif,2016-03-25,1265540937
Bombycilla garrulus,-75.642728,45.440865,gbif,2016-04-05,1265558243
Bombycilla garrulus,-76.2415407577,43.4943592612,inat,2016-03-03,3899611
Bombycilla garrulus,-75.642728,45.440865,inat,2016-04-05,2885084
Bombycilla garrulus,-75.811603,45.290734,inat,2016-03-25,2830320
Bombycilla garrulus,-75.883136,45.364681,inat,2016-02-19,2698879
Bombycilla garrulus,-75.796083,45.373754,inat,2016-02-15,2686269
Bombycilla garrulus,-75.796083,45.373754,inat,2016-02-15,2686266
Bombycilla garrulus,-73.174514,44.005024,gbif,2016-01-24,1233598920
Bombycilla garrulus,-72.054821,44.771438,gbif,2016-01-30,1253300558
Bombycilla garrulus,-73.195083,44.427545,gbif,2016-01-31,1249287495
Bombycilla garrulus,-72.621831,43.721239,gbif,2016-01-29,1249278693
Bombycilla garrulus,-72.499058,44.211426,gbif,2016-01-18,1229927516
Bombycilla garrulus,-73.031858,43.695267,gbif,2016-01-31,1249281290
Bombycilla garrulus,-73.110679,44.32922,gbif,2016-01-23,1233600067
Bombycilla garrulus,-73.191732,44.475849,gbif,2016-02-09,1249290602
Bombycilla garrulus,-73.267742,44.511985,gbif,2016-02-29,1253315007
Bombycilla garrulus,-72.290419,43.707758,gbif,2016-02-13,1265545939
Bombycilla garrulus,-72.618862,43.684262,gbif,2016-02-21,1257417854
Bombycilla garrulus,-71.766255,44.557402,gbif,2016-02-08,1249289812
Bombycilla garrulus,-73.14119,44.449783,gbif,2016-02-15,1249298227
Bombycilla garrulus,-73.006533,44.351666,gbif,2016-02-26,1253310563
Bombycilla garrulus,-73.00679,43.694051,gbif,2016-02-20,1253304901
Bombycilla garrulus,-73.196774,42.878135,gbif,2016-03-06,1257413773
Bombycilla garrulus,-72.517405,43.819263,gbif,2016-03-07,1257414525
Bombycilla garrulus,-72.962521,43.578766,gbif,2016-03-30,1265549277
Bombycilla garrulus,-72.520465,43.81979,gbif,2016-03-07,1257414656
Bombycilla garrulus,-72.209222,44.937894,gbif,2016-03-31,1265550967
Bombycilla garrulus,-73.041402,43.581915,gbif,2016-03-02,1257417720
Bombycilla garrulus,-72.42592,44.243867,gbif,2016-03-08,1262371412
Bombycilla garrulus,-73.201938,44.477636,gbif,2016-03-30,1265548804
Bombycilla garrulus,-72.761255,44.249906,gbif,2016-03-12,1262372156
Bombycilla garrulus,-72.819319,44.194467,gbif,2016-03-08,1257416033
Bombycilla garrulus,-72.66548,43.925564,gbif,2016-03-10,1257417905
Bombycilla garrulus,-72.318317,43.696512,gbif,2016-03-29,1265548394
Bombycilla garrulus,-72.62756,43.736286,gbif,2016-03-07,1257414155
Bombycilla garrulus,-72.677333,44.648669,gbif,2016-03-07,1257414801
Bombycilla garrulus,-72.601213,44.253076,gbif,2016-03-08,1257416061
Bombycilla garrulus,-72.761582,44.335821,gbif,2016-03-19,1262382198
Bombycilla garrulus,-73.194405,44.470832,gbif,2016-03-30,1265549378
Bombycilla garrulus,-72.762129,44.339028,gbif,2016-03-12,1262372210
Bombycilla garrulus,-72.661023,43.756725,gbif,2016-03-07,1262370494
Bombycilla garrulus,-72.328104,43.624457,gbif,2016-03-12,1262372478
Bombycilla garrulus,-72.468337,44.338417,gbif,2016-03-25,1265544290
Bombycilla garrulus,-73.214518,44.45694,gbif,2016-04-18,1323019044
Bombycilla garrulus,-73.21494,44.468822,gbif,2016-04-17,1265579001
Bombycilla garrulus,-73.213234,44.476061,gbif,2016-04-16,1265578998
Bombycilla garrulus,-73.209776,44.458027,gbif,2016-04-19,1323019014
Bombycilla garrulus,-73.192363,44.474562,gbif,2016-04-14,1265586832
Bombycilla garrulus,-73.201539,44.476765,gbif,2016-04-15,1265591032
Bombycilla garrulus,-73.193847,44.474672,gbif,2016-04-14,1265573331
Bombycilla garrulus,-73.22811,44.419292,gbif,2016-04-14,1265594227
Bombycilla garrulus,-72.665845,43.923829,gbif,2016-04-07,1265561423
Bombycilla garrulus,-72.625704,43.588033,gbif,2016-04-12,1265570940
Bombycilla garrulus,-73.194233,44.472241,gbif,2016-04-22,1265590650
Bombycilla garrulus,-72.61177,43.757064,gbif,2016-04-20,1265586937
Bombycilla garrulus,-73.192114,44.474493,gbif,2016-04-15,1265578166
Bombycilla garrulus,-72.6806459,44.438977,inat,2016-12-22,4968198
Bombycilla garrulus,-72.6094901562,44.8781647451,inat,2016-12-11,4763327
Bombycilla garrulus,-72.609402984,44.8782531247,inat,2016-12-11,4763316
Bombycilla garrulus,-73.2145183428,44.4569400307,inat,2016-04-18,4234000
Bombycilla garrulus,-73.2097761979,44.4580274561,inat,2016-04-19,4233975
Bombycilla garrulus,-69.1968941689,44.3595586502,inat,2016-04-21,4078097
Bombycilla garrulus,-73.19684,44.476053,inat,2016-05-04,3095080
Bombycilla garrulus,-73.22811,44.419292,inat,2016-04-14,3018590
Bombycilla garrulus,-73.240384,44.492739,inat,2016-04-22,3008877
